sample_name	birthplace	orig_seqrunid	date_startcollection	cohort	orig_tube	mouse_line	site_line	dob	host_age	host_age_units	breedpair	parity	cage	collection_sequence	collection_date	extraction_date	submission_date	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	esMM	esKP	esSO	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD2	VS_clearD3	VS_clearD4	VS_clearD5	VS_clearD6	VS_clearD7	Uterine_clearance	toMedian1002000	study_topic	institution	vivarium	room	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	plate_position	CST	CST_categorical
GBS35d7	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		35a									7	GBS	402000	41053921.57	50283286.12	112047.3888							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS36d7	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		36a									7	GBS	876000	99436392.91	69642857.14	21161964.74							Colonized	Colonized	Low	HMB_GBSchallenge		BCM_Taub									0	0
GBS37d7	BCM		8/18/20	2020Aug		Conventional	BCM_Conventional	7/3/20	6.571428571								January252021	b	vaginal community	vaginal tract	vaginal swab	Conventional_vaginal tract		37a									7	GBS	2220000	71626617.38	102362204.7	137250.499							Colonized	Colonized	High	HMB_GBSchallenge		BCM_Taub									0	0
01HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M01b									0	None														Longitudinal composition		BCM_TMF									3	III
02HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M02b									0	None														Longitudinal composition		BCM_TMF									3	III
03HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M03b									0	None														Longitudinal composition		BCM_TMF									3	III
04HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M04b									0	None														Longitudinal composition		BCM_TMF									4	IV
05HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M05b									0	None														Longitudinal composition		BCM_TMF									3	III
06HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M06b									0	None														Longitudinal composition		BCM_TMF									3	III
07HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M07b									0	None														Longitudinal composition		BCM_TMF									3	III
08HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M08b									0	None														Longitudinal composition		BCM_TMF									4	IV
09HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M09b									0	None														Longitudinal composition		BCM_TMF									4	IV
10HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M10b									0	None														Longitudinal composition		BCM_TMF									2	II
11HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M11b									0	None														Longitudinal composition		BCM_TMF									2	II
13HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M13b									0	None														Longitudinal composition		BCM_TMF									2	II
14HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M14b									0	None														Longitudinal composition		BCM_TMF									2	II
15HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M15b									0	None														Longitudinal composition		BCM_TMF									4	IV
16HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M16b									0	None														Longitudinal composition		BCM_TMF									4	IV
17HMB	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		M17b									0	None														Longitudinal composition		BCM_TMF									4	IV
01HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M01b									0	None														Longitudinal gut composition		BCM_TMF									3	III
02HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M02b									0	None														Longitudinal gut composition		BCM_TMF									3	III
05HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M05b									0	None														Longitudinal gut composition		BCM_TMF									3	III
07HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M07b									0	None														Longitudinal gut composition		BCM_TMF									3	III
08HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M08b									0	None														Longitudinal gut composition		BCM_TMF									4	IV
10HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M10b									0	None														Longitudinal gut composition		BCM_TMF									2	II
11HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M11b									0	None														Longitudinal gut composition		BCM_TMF									2	II
14HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M14b									0	None														Longitudinal gut composition		BCM_TMF									2	II
15HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M15b									0	None														Longitudinal gut composition		BCM_TMF									4	IV
16HMBf	BCM		12/11/20	2020Dec		HMB	BCM_HMB		6310.857143								January252021	c	fecal community	gut	fecal pellet	HMB_gut		M16b									0	None														Longitudinal gut composition		BCM_TMF									4	IV
Blankd1HMB	BCM		8/18/20	2020Aug					6294.428571								January252021	b	blank	blank	PBS swab	blank_blank												None																									none	none
Blankd3HMB	BCM		8/18/20	2020Aug					6294.428571								January252021	b	blank	blank	PBS swab	blank_blank												None																									none	none
Blankd4HMB	BCM		8/18/20	2020Aug					6294.428571								January252021	b	blank	blank	PBS swab	blank_blank												None																									none	none
HMBblank	BCM		12/11/20	2020Dec					6310.857143								January252021	c	blank	blank	PBS swab	blank_blank												None																									none	none
HMBblankD1	BCM		8/6/21	2021Aug					6344.857143								October212021	d	blank	blank	PBS swab	blank_blank											1	None														HMBestrous_staging		BCM_Taub									none	none
HMBblankD3	BCM		8/6/21	2021Aug					6344.857143								October212021	d	blank	blank	PBS swab	blank_blank											3	None														HMBestrous_staging		BCM_Taub									none	none
HMBblankD6	BCM		8/6/21	2021Aug					6344.857143								October212021	d	blank	blank	PBS swab	blank_blank											6	None														HMBestrous_staging		BCM_Taub									none	none
HMBd0m01	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di/pro	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m02	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	di	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m03	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	pro	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m04	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	P	di	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m05	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m06	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m07	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	P	met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m08	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	e	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m09	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	met	0	None														HMBestrous_staging		BCM_Taub									5	V
HMBd0m10	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m11	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	di/pro	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m12	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m13	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	E	pro/e	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m14	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB14a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None														HMBestrous_staging		BCM_Taub									1	I
HMBd0m15	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB15a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	0	None														HMBestrous_staging		BCM_Taub									1	I
HMBd0m16	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB16a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	pro	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m17	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	pro	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m18	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB18a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	M	e/met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m19	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB19a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m20	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB20a	metestrus	ProgHi	ProgHiTransition	mix1	none	proestrus	M	met	0	None														HMBestrous_staging		BCM_Taub									3	III
HMBd0m21	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	M	pro/e	0	None														HMBestrous_staging		BCM_Taub									2	II
HMBd1m04	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	estrus	P	di/pro	1	None														HMBestrous_staging		BCM_Taub									3	III
HMBd1m10	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro/e	1	None														HMBestrous_staging		BCM_Taub									5	V
HMBd1m13	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	M	e	1	None														HMBestrous_staging		BCM_Taub									3	III
HMBd1m17	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	1	None														HMBestrous_staging		BCM_Taub									3	III
HMBd1m21	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	diestrus	ProgHi	ProLoTransition	mix2	none	proestrus	D	e/met	1	None														HMBestrous_staging		BCM_Taub									2	II
HMBd2m04	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro	2	None														HMBestrous_staging		BCM_Taub									3	III
HMBd2m10	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	metestrus	ProgHi	ProgHiTransition	mix1	none	diestrus	M	met	2	None														HMBestrous_staging		BCM_Taub									3	III
HMBd2m13	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	diestrus	ProgHi	ProLoTransition	mix2	none	diestrus	D	met	2	None														HMBestrous_staging		BCM_Taub									3	III
HMBd2m17	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	M	e	2	None														HMBestrous_staging		BCM_Taub									3	III
HMBd2m21	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	met	2	None														HMBestrous_staging		BCM_Taub									2	II
HMBd3m01	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	met	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m02	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	di/pro	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m03	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03a	estrus	ProLo	ProgHiTransition	mix2	none	estrus	E	pro/e	3	None														HMBestrous_staging		BCM_Taub									3	III
HMBd3m04	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	metestrus	ProgHi	ProgHiTransition	mix1	none	diestrus	M	met	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m05	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	? Bacteria	di	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m06	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	3	None														HMBestrous_staging		BCM_Taub									3	III
HMBd3m07	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	metestrus	ProgHi	ProgHiTransition	mix1	none	proestrus	M	met	3	None														HMBestrous_staging		BCM_Taub									2	II
HMBd3m08	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	diestrus	P	pro	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m09	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	pro/e	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m10	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	D	met	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m11	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	metestrus	ProgHi	ProgHiTransition	mix1	none	metestrus	M	pro	3	None														HMBestrous_staging		BCM_Taub									1	I
HMBd3m12	BCM		8/6/21	2021Aug		HMB	BCM_HMB		6344.857143								October212021	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	proestrus	? Bacteria	pro	3	None														HMBestrous_staging		BCM_Taub									1	I
